"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y",
3/16/2016,54.35,54.10145226,0.457309558
3/15/2016,53.59,54.43901622,1.584281062
3/14/2016,53.17,54.530224,2.558254653
3/11/2016,53.07,53.93517392,1.630250467
3/10/2016,52.05,54.05495558,3.851979985
3/9/2016,52.84,53.33254778,0.932149471
3/8/2016,51.65,53.34696336,3.285505045
3/7/2016,51.03,52.12851186,2.152678533
3/4/2016,52.03,52.18491551,0.297742671
3/3/2016,52.35,51.56816011,1.493485934
3/2/2016,52.95,51.90001083,1.98298237
3/1/2016,52.58,51.65151405,1.765853835
2/29/2016,50.88,52.15239266,2.500771745
2/26/2016,51.3,51.44641341,0.285406257
2/25/2016,52.1,51.65861576,0.847186633
2/24/2016,51.36,51.8402421,0.935050816
2/23/2016,51.18,52.47023839,2.520981615
2/22/2016,52.65,51.9138506,1.398194489
2/19/2016,51.82,52.250306,0.830385948
2/18/2016,52.19,52.52913467,0.649807759
2/17/2016,52.42,52.64622796,0.431568018
2/16/2016,51.09,52.81338353,3.373230638
2/12/2016,50.5,51.78397084,2.542516517
2/11/2016,49.69,51.21057414,3.06012104
2/10/2016,49.71,50.83122746,2.255537035
2/9/2016,49.28,50.28400427,2.037346325
2/8/2016,49.41,49.76449229,0.717450487
2/5/2016,50.16,50.30544608,0.289964282
2/4/2016,52,50.56685184,2.75605416
2/3/2016,52.16,51.39033815,1.475578703
2/2/2016,53,52.13745663,1.627440316
2/1/2016,54.71,52.2918929,4.419863088
1/29/2016,55.09,53.35778435,3.144337712
1/28/2016,52.055,54.27431751,4.263408909
1/27/2016,51.22,53.15796492,3.783609764
1/26/2016,52.17,51.78948105,0.729382701
1/25/2016,51.79,51.65686395,0.257069021
1/22/2016,52.29,52.22565797,0.123048444
1/21/2016,50.48,52.12624319,3.261179059
1/20/2016,50.79,51.32060381,1.044701336
1/19/2016,50.56,50.8476267,0.568881928
1/15/2016,50.99,50.47317497,1.013581162
1/14/2016,53.11,50.2882886,5.312956879
1/13/2016,51.64,51.26521534,0.725764254
1/12/2016,52.78,52.06306411,1.358347649
1/11/2016,52.3,52.14792542,0.29077357
1/8/2016,52.33,52.60892068,0.533003403
1/7/2016,52.17,52.74551567,1.103154442
1/6/2016,54.05,52.75397583,2.397824558
1/5/2016,55.05,53.63224966,2.575386625
1/4/2016,54.8,54.44148777,0.654219398
12/31/2015,55.48,55.0294399,0.812112649
12/30/2015,56.31,55.16296042,2.037008667
12/29/2015,56.55,55.35994076,2.10443721
12/28/2015,55.95,55.66803387,0.503960919
12/24/2015,55.67,55.09777282,1.027891463
12/23/2015,55.82,54.97302657,1.51732969
12/22/2015,55.35,54.68546162,1.200611344
12/21/2015,54.83,55.55840721,1.328482971
12/18/2015,54.13,55.00969373,1.625150059
12/17/2015,55.7,53.98662632,3.076074824
12/16/2015,56.13,54.1217932,3.577778022
12/15/2015,55.2,54.80952106,0.707389393
12/14/2015,55.14,54.83609996,0.551142623
12/11/2015,54.06,54.81223454,1.391480838
12/10/2015,55.27,54.83364993,0.789488088
12/9/2015,54.98,54.62555303,0.64468346
12/8/2015,55.79,54.31498976,2.643861344
12/7/2015,55.81,54.73135515,1.932708917
12/4/2015,55.91,54.5894505,2.361920054
12/3/2015,54.2,54.51079494,0.573422394
12/2/2015,55.21,54.18575208,1.855185511
12/1/2015,55.22,54.35305916,1.569976171
11/30/2015,54.35,54.0869746,0.483947371
11/27/2015,53.93,54.39843703,0.868601952
11/25/2015,53.69,54.44650759,1.409028857
11/24/2015,54.25,54.17752322,0.133597745
11/23/2015,54.19,54.0584466,0.242763236
11/20/2015,54.19,53.82170167,0.679642611
11/19/2015,53.94,54.32998803,0.723003389
11/18/2015,53.85,54.50779936,1.221540124
11/17/2015,52.97,54.09646444,2.126608341
11/16/2015,53.765,53.75955365,0.010129909
11/13/2015,52.84,53.60276599,1.44353897
11/12/2015,53.32,52.45653982,1.619392683
11/11/2015,53.65,53.02480432,1.165322803
11/10/2015,53.51,53.62041795,0.206350122
11/9/2015,54.16,54.29694867,0.252859437
11/6/2015,54.92,53.95017539,1.765886029
11/5/2015,54.38,54.69169891,0.573186672
11/4/2015,54.4,54.81732699,0.767145194
11/3/2015,54.15,54.36298752,0.39332875
11/2/2015,53.24,54.16795799,1.742971432
10/30/2015,52.64,53.44329344,1.526013379
10/29/2015,53.36,53.48436319,0.233064453
10/28/2015,53.98,52.74226638,2.292948532
10/27/2015,53.69,53.29633534,0.73321784
10/26/2015,54.25,53.63025445,1.14238812
10/23/2015,52.87,54.00745846,2.151425117
10/22/2015,48.03,53.40709167,11.19527727
10/21/2015,47.2,50.52457838,7.043598264
10/20/2015,47.77,49.12272553,2.831746975
10/19/2015,47.62,48.15722945,1.128159291
10/16/2015,47.51,48.04149676,1.118705029
10/15/2015,47.01,48.61911926,3.422929721
10/14/2015,46.68,48.3286074,3.531721083
10/13/2015,46.89,47.65385774,1.629041875
10/12/2015,47,47.52409776,1.115101621
10/9/2015,47.11,47.83078919,1.530013148
10/8/2015,47.45,47.35115937,0.208304795
10/7/2015,46.8,47.55178482,1.606377828
10/6/2015,46.75,47.84138856,2.334520976
10/5/2015,46.63,47.54665972,1.965815397
10/2/2015,45.57,47.26965549,3.729768461
10/1/2015,44.61,46.3952076,4.001810352
9/30/2015,44.2,45.12147842,2.084792811
9/29/2015,43.44,44.95007866,3.476240002
9/28/2015,43.29,44.63794521,3.113756548
9/25/2015,43.94,44.05798484,0.268513515
9/24/2015,43.91,43.88687855,0.052656466
9/23/2015,43.87,43.90049068,0.069502341
9/22/2015,43.9,44.46089531,1.277665846
9/21/2015,44.11,43.89607021,0.484991596
9/18/2015,43.48,43.93382263,1.043750288
